time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.01,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.02,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.03,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.04,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.05,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.06,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.07,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.08,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.09,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.1,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.11,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.12,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.13,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.14,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.15,-0.381157,-5.59477,2.514869,2.03,0.98,-1.155
0.16,-1.37575625,-7.336503875,0.707821375,2.03,0.98,-1.155
0.17,-2.24603059375,-8.860521015625,-0.873345296875,2.03,0.98,-1.155
0.18,-3.00752064453125,-10.194036013671877,-2.256866134765625,2.03,0.98,-1.155
0.19,-3.673824438964844,-11.360861636962891,-3.467446867919921,2.03,0.98,-1.155
0.2,-4.256840259094238,-12.38183405734253,-4.526705009429931,2.03,0.98,-1.155
0.21,-4.766979101707458,-13.275184925174711,-5.453555883251189,2.03,0.98,-1.155
0.22,-5.213350588994025,-14.056866934527877,-6.26455039784479,2.03,0.98,-1.155
0.23,-5.603925640369772,-14.74083869271189,-6.974170598114192,2.03,0.98,-1.155
0.24,-5.94567881032355,-15.339313981122904,-7.595088273349917,-61.258753000000006,29.964375,-42.984374375
0.25,-6.2447128340331055,-15.86297985848254,-8.138391239181178,-116.636411875,55.325703125,-79.585076953125
0.26,-6.506367604778967,-16.321187501172222,-8.613781334283532,-165.091863390625,77.51686523437499,-111.61069170898436
0.27,-6.735315529181596,-16.722119188525696,-9.029747667498093,-207.4903834667969,96.93413208007811,-139.6331046203613
0.28,-6.935644963033896,-17.072934414959985,-9.393718209060829,-244.5890885334473,113.92424057006836,-164.15271591781612
0.29,-7.11093321765466,-17.379897738089987,-9.712192432928225,-277.0504554667664,128.7905854988098,-185.6073758030891
0.3,-7.264310440447828,-17.648490645828737,-9.990857378812198,-305.4541515334206,141.79863731145858,-204.38020320270292
0.31,-7.398515510391849,-17.883509440100145,-10.234689206460674,-330.30738559174307,153.18068264752625,-220.8064271773651
0.32,-7.515944946592869,-18.089150885087623,-10.44804205565309,-352.0539653927752,163.13997231658547,-235.17937315519447
0.33,-7.482312328268761,-19.402943024451677,-8.787139423696454,-371.0822227186783,171.8543507770123,-247.75570088579516
0.34,-7.452883787235166,-20.55251114639521,-7.333849620734397,-387.7319478788435,179.47943192988575,-258.75998765007074
0.35,-7.42713381383077,-21.558383253095812,-6.062221043142597,-402.3004573939881,186.15137793865003,-268.3887385688119
0.36,-7.404602587101924,-22.43852134645884,-4.949546037749772,-415.0479032197396,191.9893306963188,-276.8138956227104
0.37,-7.384887763714183,-23.20864217815149,-3.97595540803105,-426.2019183172722,197.09753935927893,-284.1859080448716
0.38,-7.367637293249911,-23.882497905882552,-3.124063607027169,-435.9616815276132,201.56722193936903,-290.63641891426266
0.39,-7.352543131593672,-24.472121667647237,-2.378658281148773,-444.5014743366616,205.47819419694792,-296.2806159249798
0.4,-7.339335740144463,-24.98804245919133,-1.7264286210051762,-451.9737930445789,208.90029492232944,-301.2192883093573
0.41,-7.327779272626405,-25.439473151792416,-1.1557276683795292,-418.7214440390065,205.79588380703825,-286.84625202068764
0.42,-7.317667363548105,-25.83447500781837,-0.656364334832088,-389.6256386591306,203.07952408115847,-274.2698452681017
0.43,-7.308819443104592,-26.180101631841072,-0.2194214179780769,-364.16680895173926,200.70270932101369,-263.26548935958897
0.44,-7.301077512716518,-26.48252492786094,0.1629036342691826,-341.8903329577718,198.62299640588697,-253.63667793964032
0.45,-7.294303323626954,-26.747145311878324,0.4974380549855348,-322.3984164630503,196.80324760515109,-245.21146794718527
0.46,-7.288375908173585,-26.978688147893536,0.7901556731123429,-305.342989530169,195.2109674045072,-237.8394092037871
0.47,-7.283189419651887,-27.181288129406845,1.0462835889733,-290.4194909638979,193.8177222289438,-231.38885780331373
0.48,-7.278651242195401,-27.35856311323099,1.2703955153516375,-277.36142971841065,192.59863270032585,-225.74462532789948
0.49,-5.397695211920976,-23.78510959907712,2.658694700932683,-265.93562612860933,191.53192936278512,-220.80592191191204
0.5,-3.7518586854308538,-20.65833777419248,3.873456488316098,-255.9380479875332,190.59856394243695,-216.48455642292305
0.51,-2.311751724751997,-17.92241242741842,4.936373052276585,-247.19016711409157,189.78186919963235,-212.7033616200576
0.52,-1.0516581341579978,-15.528477748991117,5.866425045742012,-239.5357713498301,189.0672612996783,-209.3948161675504
0.53,0.0509237576117519,-13.433784905367224,6.680220540024261,-232.8381750561013,188.4419793872185,-206.4998388966066
0.54,1.015682912910283,-11.60092866719632,7.392291597521229,-226.97777829908867,187.89485771381624,-203.9667337845308
0.55,1.8598471737964972,-9.99717945879678,8.015353772831075,-221.8499311367026,187.4161262495892,-201.7502668114644
0.56,2.598490902071936,-8.593898901447183,8.56053317622719,-217.3630648696148,186.99723621839053,-199.8108582100313
0.57,3.244804164312943,-7.366028413766285,9.037565154198791,-149.74143276091291,195.74383094109172,-178.39137593377745
0.58,3.810328268773825,-6.2916417370455,9.454968134923943,-90.57250466579882,203.39710132345527,-159.64932894205523
0.59,4.305161860177097,-5.351553394914812,9.82019574305845,-38.799692582573975,210.09371290802335,-143.25003782429832
0.6,4.73814125265496,-4.528976095550461,10.139769900176145,6.50151799024777,215.95324804452045,-128.90065809626105
0.61,5.116998221073089,-3.809220958606653,10.419397287654126,46.1400772414668,221.0803412889554,-116.3449508342284
0.62,5.448498068438953,-3.179435213780822,10.66407125169736,80.82381658628344,225.566547877836,-105.35870697994986
0.63,5.738560434884084,-2.62837268705822,10.878160970235191,111.17208851299802,229.49197864310648,-95.74574360745612
0.64,4.495215505523573,-2.380905601175942,9.652342848955794,137.72682644887325,232.92673056271815,-87.33440065652412
0.65,3.4072886923331263,-2.1643719010289493,8.57975199283632,160.9622221427641,235.9321384923784,-79.97447557445861
0.66,2.455352730791485,-1.9749049134003305,7.641234993731779,181.29319337491856,238.5618704308311,-73.53454112765128
0.67,1.6224087644425498,-1.8091212992252887,6.820032619515307,199.0827932030537,240.86288587697723,-67.89959848669487
0.68,0.893582793887231,-1.664060636822128,6.101480542075893,214.648693052672,242.87627439235507,-62.96902367585801
0.69,0.2558600696513272,-1.537132557219362,5.472747474316407,228.268855421088,244.6379893433107,-58.65477071637576
0.7,-0.3021473140550886,-1.4260704875669417,4.922606040026856,240.186497493452,246.1794899253969,-54.87979937682879
0.71,-0.7904037747982025,-1.3288911766210738,4.441232285023498,250.61443430677048,247.52830293472223,-51.57669945472519
0.72,-1.217628177948427,-1.2438592795434396,4.020030249395561,257.6870047684242,225.293515067882,11.067265227115463
