time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.01,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.02,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.03,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.04,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.05,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.06,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.07,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.08,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.09,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.1,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.11,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.12,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.13,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.14,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.15,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.16,-1.066856,-8.71681,2.35781,-1.75,-2.905,-8.015
0.17,-1.35334625,-10.128862250000001,1.16951975,-1.75,-2.905,-8.015
0.18,-1.60402521875,-11.364407968750001,0.12976578125000016,-1.75,-2.905,-8.015
0.19,-1.82336931640625,-12.44551047265625,-0.7800189414062499,-1.75,-2.905,-8.015
0.2,-2.015295401855469,-13.391475163574219,-1.5760805737304686,-1.75,-2.905,-8.015
0.21,-2.1832307266235356,-14.219194268127442,-2.27263450201416,-1.75,-2.905,-8.015
0.22,-2.330174135795594,-14.943448484611512,-2.88211918926239,-1.75,-2.905,-8.015
0.23,-2.4587496188211446,-15.577170924035073,-3.4154182906045913,-1.75,-2.905,-8.015
0.24,-2.5712531664685017,-16.13167805853069,-3.8820550042790174,-1.75,-2.905,-8.015
0.25,-2.669693770659939,-16.61687180121435,-4.290362128744141,-37.983751,20.606250875,-54.971875375
0.26,-2.7558292993274467,-17.041416326062556,-4.647630862651123,-69.688283125,41.178595390625006,-96.05914132812501
0.27,-2.831197886911516,-17.412892785304738,-4.960241004819732,-97.429748734375,59.17939684179689,-132.01049903710938
0.28,-2.8971454010475766,-17.737934687141646,-5.233774879217265,-121.70353114257811,74.93009811157228,-163.4679370324707
0.29,-2.9548494759166295,-18.02234635124894,-5.473117019315106,-142.94309074975587,88.71196172262574,-190.99319527841186
0.3,-3.005340541427051,-18.271206557342826,-5.682541391900719,-161.52770540603638,100.77109238229752,-215.07779624361038
