time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.01,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.02,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.03,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.04,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.05,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.06,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.07,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.08,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.09,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.1,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.11,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.12,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.13,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.14,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.15,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.16,-2.928588,-8.822154,0.974919,25.9,-10.01,-44.345
0.17,-3.1829,-10.208588375,0.503548625,25.9,-10.01,-44.345
0.18,-3.405423,-11.421718453125,0.0910995468749999,25.9,-10.01,-44.345
0.19,-3.6001306250000003,-12.483207271484376,-0.269793396484375,25.9,-10.01,-44.345
0.2,-3.7704997968750007,-13.412009987548828,-0.5855747219238282,25.9,-10.01,-44.345
0.21,-3.919572822265626,-14.224712364105224,-0.8618833816833497,25.9,-10.01,-44.345
0.22,-4.050011719482423,-14.93582694359207,-1.103653458972931,25.9,-10.01,-44.345
0.23,-4.164145754547119,-15.55805220064306,-1.3152022766013145,25.9,-10.01,-44.345
0.24,-4.2640130352287295,-16.102499300562677,-1.50030749202615,25.9,-10.01,-44.345
