time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.0,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.01,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.02,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.03,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.04,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.05,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.06,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.07,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.08,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.09,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.1,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.11,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.12,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.13,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.14,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.15,-2.375048,-2.599145,15.363113,18.83,-41.965,-6.09
0.16,-0.446279125,-2.1455875,13.001903500000001,18.83,-41.965,-6.09
0.17,1.2413936406250001,-1.7487246875,10.935845187500002,18.83,-41.965,-6.09
0.18,2.718107310546875,-1.4014697265625,9.128044164062501,18.83,-41.965,-6.09
0.19,4.010231771728516,-1.0976216357421875,7.546218268554688,18.83,-41.965,-6.09
0.2,5.140840675262451,-0.831754556274414,6.162120609985352,18.83,-41.965,-6.09
0.21,6.130123465854645,-0.5991208617401123,4.951035158737183,18.83,-41.965,-6.09
0.22,6.995745907622815,-0.3955663790225982,3.8913353888950346,18.83,-41.965,-6.09
0.23,7.753165544169963,-0.21745620664477344,2.9640980902831555,18.83,-41.965,-6.09
0.24,8.415907726148719,-0.06160980581417677,2.152765453997761,-14.424376124999998,-65.62937662499999,-36.290625875
0.25,8.99580713538013,0.07475579491259532,1.4428493972480412,-43.521955234375,-86.33570617187499,-62.716173515625
0.26,9.503219118457613,0.1940756955485209,0.8216728475920361,-68.98233695507813,-104.45374452539062,-85.83852770117188
0.27,9.947204603650412,0.2984806086049558,0.2781433666430316,-91.26017096069336,-120.30702808471679,-106.0705876135254
0.28,10.33569190319411,0.3898349075293363,-0.19744492918734735,-110.75327571560669,-134.1786511991272,-123.77364003683473
0.29,10.675618290294846,0.4697699190881693,-0.6135846880389288,-127.80974237615585,-146.3163214242363,-139.26381090723038
0.3,10.97305387900799,0.5397130542021481,-0.9777069770340627,-142.73415070413637,-156.93678287120676,-152.81771041882658
0.31,11.233310019131991,0.6009132974268796,-1.296313979904805,-155.7930079911193,-166.22968663730592,-164.67737249147325
0.32,6.986462641740493,-2.1023352397514805,-2.223626857416704,-167.2195081172294,-174.3609774326427,-175.0545768050391
0.33,3.2704711865229315,-4.467677709782546,-3.035025625239616,-177.21769572757572,-181.47585687856235,-184.13463057940922
0.34,0.018978663207565027,-6.537352371059727,-3.744999547084664,-185.96610988662874,-187.70137639374207,-192.07967763198306
0.35,-2.8260772946933805,-8.348317699677262,-4.366226728699081,-193.62097227580014,-193.14870596952431,-199.03159380298518
0.36,-5.315501257856708,-9.932912362217603,-4.909800512611696,-200.31897686632513,-197.91511934833377,-205.11452045261203
0.37,-7.4937472256246185,-11.319432691940403,-5.3854275735352335,-206.1797308830345,-202.08573105479206,-210.43708127103554
0.38,-9.39971244742154,-12.532637980447852,-5.80160125184333,-211.30789064765517,-205.73501629794305,-215.0943219871561
0.39,-11.067432016493848,-13.594192607891872,-6.165753220362914,-215.7950304416983,-208.92814088570017,-219.1694076137616
0.4,-12.526686639432116,-14.523052906905388,-6.484386192817549,-217.358776886486,-177.47462327498764,-195.63198166204137
0.41,-13.803534434503101,-15.335805668542214,-6.763190043715355,-218.72705502567527,-149.95279536561418,-175.03673395428618
0.42,-14.920776255190212,-16.04696433497444,-7.007143413250935,-219.92429839746586,-125.87119594491239,-157.0158922100004
0.43,-15.898362848291434,-16.669228168102634,-7.220602611594568,-220.97188634778263,-104.79979645179833,-141.24765568375034
0.44,-16.753751117255003,-17.213709022089805,-7.407379410145246,-221.8885258043098,-86.36232189532353,-127.45044872328155
0.45,-17.502215852598127,-17.69012976932858,-7.570809108877091,-222.69058532877108,-70.22953165840809,-115.37789263287137
0.46,-18.157122496023362,-18.106997923162506,-7.713810095267455,-223.3923874126747,-56.113340201107086,-104.81440605376244
0.47,-18.73016580902044,-18.47175755776719,-7.8389359583590235,-224.00646423609038,-43.761672675968704,-95.57135529704213
0.48,-19.941785207892888,-17.32748661304629,-5.371543838564145,-224.5437814565791,-32.953963591472615,-87.48368588491186
0.49,-21.00195218190628,-16.326249536415503,-3.2125757337436274,-225.0139340245067,-23.497218142538536,-80.40697514929788
0.5,-21.929598284167994,-15.450167094363565,-1.3234786420256741,-225.4253175214434,-15.222565874721218,-74.21485325563565
0.51,-22.741288623646998,-14.683594957568118,0.32948131322753493,-225.78527808126296,-7.982245140381066,-68.7967465986812
0.52,-23.451517670691125,-14.012844337872103,1.7758212740740928,-226.1002435711051,-1.646964497833432,-64.05590327384604
0.53,-24.072968086854736,-13.425937545638089,3.041368739814831,-226.37583837471698,3.896406064395747,-59.90766536461528
0.54,-24.616737200997896,-12.912394102433327,4.148722772337977,-226.61698382787736,8.74685530634628,-56.27795719403837
0.55,-25.09253517587316,-12.46304358962916,5.11765755079573,-226.8279860993927,12.990998393052996,-53.101962544783575
0.56,-25.508858403889015,-12.069861890925514,5.965475481946264,-212.9688629619686,77.53900034392137,7.357034773314375
0.57,-25.87314122840289,-11.725827904559825,6.707316171702981,-200.84213021672252,134.0185020509312,60.25865742665008
0.58,-26.19188869985253,-11.424798166489847,7.356426775240108,-190.2312390646322,183.4380660445648,106.54757724831882
0.59,-26.470792737370964,-11.161397145678615,7.924398553335093,-180.94670930655317,226.6801845389942,147.05038209227897
0.6,-26.714833770199593,-10.930921252468787,8.421373859168206,-172.82274576823403,264.51703822161994,182.49033633074407
0.61,-26.928369673924646,-10.729254845910187,8.85622725177218,-165.7142776722048,297.62428519391744,213.5002962894011
0.62,-27.115213589684068,-10.552796740171413,9.236723970300657,-159.4943680881792,326.59312629467775,240.63401125322594
0.63,-27.27870201597356,-10.398395897649985,9.569658599013074,-154.05194720215678,351.94086225784304,264.3760118465727
0.64,-25.00123726397687,-7.583960035443736,9.03650764913644,-149.2898289268872,374.1201312256127,285.1502623657511
0.65,-23.008455605979762,-5.121328656013269,8.570000567994384,-145.1229754360263,393.52699157241113,303.3277315700322
0.66,-21.264771655232295,-2.96652619901161,8.161806871995086,-141.47697863152302,410.50799437585977,319.2330171237782
0.67,-19.73904819832826,-1.0810740491351585,7.804637387995701,-138.28673142758265,425.3663718288773,333.15014198330596
0.68,-18.40404017353723,0.5686965820067363,7.492114089496239,-135.49526512413482,438.36745210026766,345.32762623539276
0.69,-17.235908151845077,2.0122458842558943,7.218656203309209,-133.05273210861796,449.7433973377342,355.98292495596866
0.7,-16.213792632864443,3.2753515237239075,6.979380552895558,-130.9155157200407,459.6973494205174,365.30631133647256
0.71,-15.319441553756388,4.3805689582584195,6.770014358783613,-129.04545138003562,468.40705749295273,373.4642744194135
0.72,-14.536884359536838,5.347634213476117,6.586818938935662,-127.40914508253117,476.02805205633365,380.60249211698687
0.73,-13.852146814594732,6.193816311791602,6.426522946568704,-129.36800257221478,403.95079567429195,376.0246797273635
0.74,-13.25300146277039,6.9342256478176525,6.286263953247616,-131.08200287568792,340.8831963400055,372.01909388644304
0.75,-12.728749279924092,7.582083816840446,6.163537334091664,-132.58175314122693,285.69904692250486,368.51420627563766
0.76,-12.27002861993358,8.14895971473539,6.056151542330206,-133.89403462357356,237.41291618219176,365.44742961618294
0.77,-11.868648042441881,8.644976125393466,5.962188974538931,-135.04228092062687,195.1625517844178,362.76400003916007
0.78,-11.517440037136646,9.078990484719283,5.879971727721564,-136.04699643054852,158.19348293636557,360.415999159265
0.79,-11.210133032494564,9.458753049129372,5.808031636756368,-136.92612250172996,125.84554769431986,358.3614983893569
0.8,-10.941239403432743,9.791045292988201,5.745084057161822,-137.6953578140137,97.54110435752987,356.5638102156873
0.81,-6.513248353003649,9.370901756364676,5.113269175016595,-138.368438712262,72.77471643783863,354.99083306372637
0.82,-2.6387561838781934,9.003276161819091,4.56043115313952,-138.95738449822923,51.104127008108804,353.61447805576057
0.83,0.7514244641065808,8.681603766591705,4.07669788399708,-139.47271206095058,32.1423612570952,352.4101674237905
0.84,3.7178325310932583,8.400140420767741,3.653431273497445,-139.92362367833175,15.5508162249583,351.35639562081667
0.85,6.313439589706601,8.153859993171773,3.283072989310264,-140.31817134354029,1.0332143218385124,350.43434529321456
0.86,8.584595765993274,7.938364619025302,2.959009490646481,-140.66340055059774,-11.669687343391303,349.62755125656275
0.87,10.571857420244115,7.74980616664714,2.675453929315671,-140.96547610677302,-22.78472630046739,348.9216064744924
0.88,12.310711367713601,7.584817520816248,2.427342813151212,-141.22979221842638,-32.51038538790897,348.30390479018087
0.89,13.832208571749401,7.440452455714217,2.2102455865073103,-114.90044306612309,-48.89971158942035,258.5002916914083
0.9,15.163518625280727,7.314133023749941,2.0202855131938966,-91.8622625578577,-63.24037201574281,179.92213022998226
0.91,16.328414922120636,7.203603520781199,1.8540704490446593,-71.7038546131255,-75.78844988877495,111.16623895123448
0.92,17.347699181855557,7.106890205683548,1.7086322679140769,-54.06524766148482,-86.76801802767808,51.00483408233016
0.93,18.239572909123613,7.022266054973105,1.5813738594248172,-38.63146657879922,-96.37514014921832,-1.6363951779611057
0.94,19.01996242048316,6.948219923101467,1.470022751996715,-25.126908131449316,-104.78137200556604,-47.69747078071597
0.95,19.702803242922766,6.883429557713784,1.3725905329971255,-13.310419490018152,-112.13682487987029,-88.00091193312647
0.96,19.45143508755742,5.7988107379995615,-0.44776640862751527,-2.9709919287658835,-118.5728461448865,-123.26642294148567
0.97,19.231487951612742,4.849769270749617,-2.0405787325490756,6.076007187329852,-124.20436475177569,-154.12374507379997
0.98,19.03903420766115,4.019357986905915,-3.434289515980441,13.99213141391362,-129.13194353280375,-181.12390193957498
0.99,18.870637181703504,3.2927481135426753,-4.653786451482886,20.91874011217442,-133.4435749662033,-204.7490391971281
1.0,18.723289783990566,2.656964474349841,-5.7208462700475256,26.979522723152616,-137.2162524704279,-225.4210342974871
1.01,18.594360810991745,2.100653790056111,-6.6545236112915855,32.28270750775854,-140.5173452866244,-243.50903001030122
1.02,18.481547959617775,1.6138819412990972,-7.471491284880138,36.92299419428872,-143.40580150079634,-259.3360262590136
