time,ax_filtered,ay_filtered,az_filtered,wx_filtered,wy_filtered,wz_filtered
0.16,1.361056125,-1.4361376250000002,6.52716825,20.3,-4.62,7.98
0.17,1.259829234375,-1.749203546875,6.208404218749999,20.3,-4.62,7.98
0.18,1.171255705078125,-2.023136228515625,5.929485691406249,20.3,-4.62,7.98
0.19,1.0937538669433593,-2.262827324951172,5.685431979980468,20.3,-4.62,7.98
0.2,1.0259397585754393,-2.472557034332276,5.471884982482909,20.3,-4.62,7.98
0.21,0.9666024137535094,-2.656070530040741,5.285031359672545,20.3,-4.62,7.98
0.22,0.9146822370343208,-2.816644838785648,5.121534439713477,20.3,-4.62,7.98
0.23,0.8692520824050306,-2.957147358937442,4.978474634749292,20.3,-4.62,7.98
0.24,0.8295006971044018,-3.080087064070262,4.85329730540563,20.3,-4.62,7.98
0.25,0.7947182349663515,-3.187659306061479,4.743767142229926,20.3,-4.62,7.98
0.26,0.7642835805955576,-3.2817850178037937,4.647928249451184,20.3,-4.62,7.98
0.27,0.7376532580211129,-3.3641450155783192,4.564069218269786,20.3,-4.62,7.98
0.28,0.7143517257684738,-3.436210013631029,4.490692565986063,20.3,-4.62,7.98
0.29,0.6939628850474147,-3.4992668869271504,4.426487995237805,20.3,-4.62,7.98
0.3,0.6761226494164878,-3.5544416510612566,4.370308995833079,20.3,-4.62,7.98
0.31,0.6605124432394268,-3.6027195696785994,4.321152371353944,20.3,-4.62,7.98
0.32,-0.7088776121655016,-4.644187498468774,2.671803324934701,20.3,-4.62,7.98
0.33,-1.907093910644814,-5.555471936160178,1.2286229093178636,20.3,-4.62,7.98
0.34,-2.955533171814212,-6.352845819140156,-0.0341599543468693,20.3,-4.62,7.98
0.35,-3.872917525337436,-7.0505479667476365,-1.1390949600535107,20.3,-4.62,7.98
0.36,-4.675628834670256,-7.661037345904182,-2.1059130900468217,20.3,-4.62,7.98
0.37,-5.378001230336475,-8.19521555266616,-2.9518789537909687,20.3,-4.62,7.98
0.38,-5.992577076544416,-8.662621483582889,-3.692099084567098,20.3,-4.62,7.98
0.39,-6.530330941976365,-9.071601673135028,-4.339791698996211,20.3,-4.62,7.98
0.4,-7.000865574229319,-9.42945933899315,-4.906522736621684,-24.806251,18.85187575,-17.981250625
0.41,-7.412583377450653,-9.742584796619004,-5.402412394543974,-64.274220625,39.38976703125,-40.697344921875
0.42,-7.772836455269322,-10.016569572041629,-5.836315845225978,-98.808694046875,57.36042190234375,-60.57392743164063
0.43,-8.088057898360658,-10.256306250536424,-6.215981364572731,-129.0263582910156,73.08474491455077,-77.96593712768555
0.44,-8.363876661065575,-10.46607584421937,-6.54818869400114,-155.46681450463865,86.84352755023193,-93.18394561172488
0.45,-8.605218078432378,-10.649624238691947,-6.838870107250997,-178.6022136915588,98.88246235645292,-106.49970303525926
0.46,-8.81639181862833,-10.810229083855454,-7.093216343844623,-198.84568798011395,109.41653031189632,-118.15099078085186
